CODE,UZ,RU,EN
9653, Хожкин лимфомаси лимфоид камайиш билан,Лимфома Ходжкина с лимфоидн.истощением  БДУ ,
9654, Хожкин лимфомаси лимфоид камайиш ва диффуз фиброз билан,Лимфома Ходжкина с лимфоидн.истощением и диффузным фиброзом ,
9655, Хожкин лимфомасиретикуляр лимфоид камайиш билан,Лимфома Ходжкина с лимфоидн.истощением ретикулярная ,
9659, Хожкин лимфомаси нодуляр лимфоцитар кўпайиш билан ,Лимфома Ходжкина с лимфоцитарным преобладанием нодулярная ,
9661, Хожкин гранулемаси ,Гранулема Ходжкина ,
9662, Хожкин саркомаси ,Саркома Ходжкина ,
9663, Хожкин лимфомаси нодуляр склероз билан,Лимфома Ходжкина с нодулярным склерозом БДУ ,
9664," Хожкин лимфомасинодуляр склероз билан, ҳужайра фазаси","Лимфома Ходжкина с нодулярным склерозом, клеточная фаза ",
9665, Хожкин лимфомаси 1 градациядаги нодуляр склероз билан,Лимфома Ходжкина с нодулярным склерозом градации 1 ,
9667, Хожкин лимфомаси 2 градациядаги нодуляр склероз билан,Лимфома Ходжкина с нодулярным склерозом градации 2 ,
9670, Майда В-ҳужайралардан чиққан хавфли лимфоцитар лимфома,Лимфома лимфоцитарная из мелких В-клеток злокач. БДУ ,
9671, Хавфли лимфоплазмацитар лимфома,Лимфома лимфоплазмоцитарная злокач. ,
9673, Манти ҳужайраларидан чиққан лимфома ,Лимфома из клеток мантии ,
9675, Майда ва йирик ҳужайрали аралаш диффуз хавфли лимфома,Лимфома смешанная мелко- и крупноклеточная диффузная злокач. ,
9678, Бирламчи экссудатив хавфли лимфома,Лимфома первичная экссудатная злокач. ,
9679, Йирик В-ҳужайралардан чиққан медиастенал хавфли лимфома,Лимфома медиастинальная из крупных В-клеток злокач. ,
9680, Йирик В-ҳужайралардан чиққан диффуз хавфли лимфома,Лимфома из крупных В-клеток диффузная злокач. БДУ ,
9684, Йирик В-ҳужайралардан чиққан диффуз иммунобласт хавфли лимфома,Лимфома из крупных В-клеток диффузная иммунобластная злокачеств. ,
9687, Беркитт лимфомаси ҚА,Лимфома Беркитта БДУ ,
9689, Талоқ маргинал соҳасининг В-ҳужайралари лимфомаси,Лимфома В-клеточная маргинальной зоны селезенки ,
9690, Фолликуляр лимфома ҚА,Лимфома фолликулярная БДУ ,
